"","Subject","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"217",2,4,37,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",852,0.852,1
"218",2,4,38,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",687,0.687,1
"219",2,4,39,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",617,0.617,1
"220",2,4,40,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",771,0.771,1
"221",2,4,41,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",781,0.781,1
"222",2,4,42,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",727,0.727,1
"223",2,4,43,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",881,0.881,1
"224",2,4,44,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",875,0.875,1
"225",2,4,45,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",1173,1.173,1
"226",2,4,46,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",992,0.992,1
"227",2,4,47,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",1257,1.257,1
"228",2,4,48,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",851,0.851,1
"229",2,4,49,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",877,0.877,1
"230",2,4,50,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",1143,1.143,1
"231",2,4,51,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",1105,1.105,1
"232",2,4,52,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",987,0.987,1
"233",2,4,53,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",709,0.709,1
"234",2,4,54,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",1168,1.168,1
"235",2,4,55,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",922,0.922,1
"236",2,4,56,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","m",676,0.676,0
"237",2,4,57,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",670,0.67,1
"238",2,4,58,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",936,0.936,1
"239",2,4,59,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",818,0.818,1
"240",2,4,60,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",859,0.859,1
"241",2,5,1,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",722,0.722,1
"242",2,5,2,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",653,0.653,1
"243",2,5,3,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",1318,1.318,1
"244",2,5,4,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",1392,1.392,1
"245",2,5,5,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",1306,1.306,1
"246",2,5,6,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",772,0.772,1
"247",2,5,7,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",798,0.798,1
"248",2,5,8,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",984,0.984,1
"249",2,5,9,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",930,0.93,1
"250",2,5,10,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",893,0.893,1
"251",2,5,11,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",823,0.823,1
"252",2,5,12,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",865,0.865,1
"253",2,5,13,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",779,0.779,1
"254",2,5,14,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",1076,1.076,1
"255",2,5,15,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",958,0.958,1
"256",2,5,16,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",856,0.856,1
"257",2,5,17,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",914,0.914,1
"258",2,5,18,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",765,0.765,1
"259",2,5,19,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",983,0.983,1
"260",2,5,20,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",849,0.849,1
"261",2,5,21,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",763,0.763,1
"262",2,5,22,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",693,0.693,1
"263",2,5,23,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",1215,1.215,1
"264",2,5,24,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",1545,1.545,1
"265",2,5,25,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",1075,1.075,1
"266",2,5,26,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",765,0.765,1
"267",2,5,27,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",791,0.791,1
"268",2,5,28,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",881,0.881,1
"269",2,5,29,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",683,0.683,1
"270",2,5,30,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",725,0.725,1
"271",2,5,31,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",735,0.735,1
"272",2,5,32,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",953,0.953,1
